mode,counter,field,stable,value
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.calls,page_table,per-request;fallback,441
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.calls,positions,per-token;fallback,441
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.calls,raw_out_loc,per-token;fallback,441
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.calls,req_seq_lens,per-request;fallback,441
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.calls,req_table_indices,per-token;fallback,441
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.calls,seq_lens,per-token;fallback,441
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.calls,swa_topk_lengths,per-token;fallback,441
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,c128_full_indices,per-prefix-hit,10752
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,c128_page_indices,per-prefix-hit,10752
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,c128_page_table,per-request,21056
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,c128_raw_indices,per-prefix-hit,10752
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,c128_topk_lengths_clamp1,per-token,10752
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,c4_indexer_out_loc,per-token,4704
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,c4_indexer_page_table,per-request,21056
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,c4_out_loc,per-token,4704
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,c4_page_table,per-request,21056
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,c4_sparse_full_indices,per-token,10752
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,c4_sparse_page_indices,per-token,10752
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,c4_sparse_raw_indices,per-token,10752
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,c4_sparse_topk_lengths,per-token,10752
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,c4_topk_lengths_clamp1,per-token,10752
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,c4_topk_lengths_raw,per-token,10752
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,cu_seqlens_q,per-bucket,25032
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,extend_lens,per-request,10752
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,page_table,per-request,21056
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,positions,per-token,10752
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,raw_out_loc,per-token,10752
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,req_seq_lens,per-request,10752
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,req_table_indices,per-token,10752
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,seq_lens,per-token,10752
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,swa_page_indices,per-token,10752
Route B direct SWA+C4+C128,dsv4.metadata_build.bytes,swa_topk_lengths,per-token,10752
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,c128_out_loc,per-token,10752
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,c128_page_table,per-request,21056
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,c128_topk_lengths_clamp1,per-token,10752
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,c4_indexer_out_loc,per-token,10752
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,c4_indexer_page_table,per-request,21056
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,c4_out_loc,per-token,10752
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,c4_page_table,per-request,21056
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,c4_sparse_topk_lengths,per-token,10752
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,c4_topk_lengths_clamp1,per-token,10752
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,c4_topk_lengths_raw,per-token,10752
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,cu_seqlens_q,per-bucket,25032
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,extend_lens,per-request,10752
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,page_table,per-request,21056
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,positions,per-token,10752
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,raw_out_loc,per-token,10752
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,req_seq_lens,per-request,10752
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,req_table_indices,per-token,10752
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,seq_lens,per-token,10752
Route B direct SWA+C4+C128,dsv4.replay_metadata_copy.bytes,swa_topk_lengths,per-token,10752
Route B direct SWA+C4+C128,dsv4.direct_graph_metadata.bytes,c128_full_indices,per-token;direct_dst,688128
Route B direct SWA+C4+C128,dsv4.direct_graph_metadata.bytes,c128_page_indices,per-token;direct_dst,688128
Route B direct SWA+C4+C128,dsv4.direct_graph_metadata.bytes,c128_raw_indices,per-token;direct_dst,688128
Route B direct SWA+C4+C128,dsv4.direct_graph_metadata.bytes,c4_sparse_full_indices,per-token;direct_dst,5505024
Route B direct SWA+C4+C128,dsv4.direct_graph_metadata.bytes,c4_sparse_page_indices,per-token;direct_dst,5505024
Route B direct SWA+C4+C128,dsv4.direct_graph_metadata.bytes,c4_sparse_raw_indices,per-token;direct_dst,5505024
Route B direct SWA+C4+C128,dsv4.direct_graph_metadata.bytes,swa_page_indices,per-token;direct_dst,1376256
